"member_casual","day_of_week","rides_per_day","percentage_rides"
"casual","Sunday   ","329143","45.01%"
"member","Sunday   ","402058","54.99%"
"casual","Monday   ","230563","32.15%"
"member","Monday   ","486616","67.85%"
"casual","Tuesday  ","241766","29.87%"
"member","Tuesday  ","567522","70.13%"
"casual","Wednesday","244660","29.77%"
"member","Wednesday","577231","70.23%"
"casual","Thursday ","265735","31.43%"
"member","Thursday ","579869","68.57%"
"casual","Friday   ","306225","36.95%"
"member","Friday   ","522489","63.05%"
"casual","Saturday ","402848","46.44%"
"member","Saturday ","464634","53.56%"
